                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
  33918142792395.02     2.4820386440924616e+21  13895.56413207055   4.0967939244556e-10     4.713117284124654e+17   1.1725040917737205e-05  0.9248810423247461    
  33682366228793.418    2.4476515869483184e+21  13895.564132070456  4.125471481926766e-10   4.6803548005209696e+17  1.1800686343015008e-05  0.9189523176950481    
  33448228628394.61     2.4137409404764527e+21  13895.56413207036   4.1543497823002295e-10  4.64782006010023e+17    1.1876331768292876e-05  0.913099118219878     
  33215718598207.11     2.380300104311856e+21   13895.564132070262  4.1834302307763066e-10  4.6155114797419974e+17  1.1951977193570805e-05  0.9073200098773144    
  32984824824436.008    2.347322569533357e+21   13895.564132070165  4.212714242391717e-10   4.5834274873306445e+17  1.20276226188488e-05    0.9016135947214593    
  32755536071932.434    2.3148019173967195e+21  13895.564132070067  4.242203242088434e-10   4.551566521678855e+17   1.2103268044126861e-05  0.8959785097550621    
  32527841183646.86     2.2827318180853024e+21  13895.564132069967  4.271898664783028e-10   4.519927032451655e+17   1.2178913469404987e-05  0.8904134258441578    
  32301729080086.207    2.2511060294780227e+21  13895.564132069867  4.301801955436483e-10   4.48850748009098e+17    1.2254558894683178e-05  0.884917046672904     
  32077188758774.734    2.2199183959343917e+21  13895.564132069767  4.3319145691245135e-10  4.4573063357407565e+17  1.2330204319961441e-05  0.8794881077368898    
  31854209293718.652    2.1891628470963795e+21  13895.564132069667  4.3622379711083595e-10  4.42632208117251e+17    1.2405849745239773e-05  0.8741253753732762    
  31632779834874.48     2.1588333967068834e+21  13895.564132069565  4.392773636906092e-10   4.395553208711491e+17   1.2481495170518178e-05  0.8688276458262009    
  31412889607621.082    2.128924141444562e+21   13895.564132069461  4.4235230523644075e-10  4.3649982211633094e+17  1.2557140595796653e-05  0.8635937443459677    
  31194527912235.383    2.0994292597748127e+21  13895.564132069358  4.4544877137309314e-10  4.334655631741083e+17   1.2632786021075202e-05  0.8584225243205975    
  30977684123371.727    2.0703430108166706e+21  13895.564132069254  4.4856691277270214e-10  4.3045239639930925e+17  1.2708431446353825e-05  0.8533128664383965    
  30762347689544.863    2.0416597332254028e+21  13895.56413206915   4.517068811621083e-10   4.274601751730938e+17   1.2784076871632523e-05  0.8482636778802553    
  30548508132616.496    2.0133738440905848e+21  13895.564132069045  4.5486882933024024e-10  4.244887538958192e+17   1.2859722296911296e-05  0.8432738915404554    
  30336155047285.45     1.9854798378494426e+21  13895.564132068937  4.58052911135549e-10    4.2153798797995565e+17  1.2935367722190148e-05  0.8383424652748154    
  30125278100581.336    1.957972285215253e+21   13895.56413206883   4.6125928151349486e-10  4.186077338430505e+17   1.3011013147469078e-05  0.833468381175065     
  29915867031361.75     1.9308458321205844e+21  13895.564132068723  4.6448809648408647e-10  4.1569784890074144e+17  1.308665857274809e-05   0.8286506448683856    
  29707911649813.016    1.9040951986751854e+21  13895.564132068615  4.67739513159472e-10    4.12808191559819e+17    1.3162303998027181e-05  0.8238882848411039    
  29501401836954.28     1.8777151781383027e+21  13895.564132068506  4.710136897515854e-10   4.0993862121133574e+17  1.3237949423306355e-05  0.8191803517855726    
  29296327544145.215    1.851700635905247e+21   13895.564132068395  4.743107855798434e-10   4.070889982237655e+17   1.3313594848585616e-05  0.8145259179693193    
  29092678792596.984    1.8260465085079895e+21  13895.564132068284  4.776309610788992e-10   4.042591839362082e+17   1.3389240273864959e-05  0.8099240766255766    
  28890445672886.727    1.8007478026296125e+21  13895.564132068173  4.809743778064483e-10   4.014490406516429e+17   1.3464885699144389e-05  0.8053739413643581    
  28689618344475.348    1.7757995941324068e+21  13895.56413206806   4.843411984510903e-10   3.986584316302274e+17   1.3540531124423909e-05  0.8008746456032757    
  28490187035228.695    1.7511970270994427e+21  13895.564132067948  4.877315868402448e-10   3.95887221082645e+17    1.3616176549703515e-05  0.7964253420173272    
  28292142040942.05     1.7269353128894097e+21  13895.564132067833  4.911457079481232e-10   3.931352741634967e+17   1.3691821974983212e-05  0.7920252020069247    
